axis_a,axis_b,excess_mean,n_donors,p_donor,q_donor,coupled_q05,coupled_q10,is_benchmark,pair_status
IL-13,TL1A,-0.009768249394129153,10,0.94921875,1.0,False,False,True,DIRECTIONAL_b_to_a
IL-1-beta,IL-27,-0.010471893660724162,10,0.9775390625,1.0,False,False,False,
IFN-beta,IL-17A,-0.010554842221672123,10,0.9853515625,1.0,False,False,False,
IFN-gamma,IL-10,-0.010574686794501284,10,0.845703125,1.0,False,False,False,
IFN-omega,TL1A,-0.010650580481666585,10,0.9951171875,1.0,False,False,False,
CD30L,IL-35,-0.010808590645699398,10,1.0,1.0,False,False,False,
GM-CSF,IL-1-beta,-0.010888836330369765,10,0.998046875,1.0,False,False,False,
GM-CSF,IL-27,-0.01093642984557411,10,0.966796875,1.0,False,False,False,PARTIAL_INHIBITORY
CD30L,IL-6,-0.011030972352170427,10,1.0,1.0,False,False,False,
IL-10,IL-17A,-0.01107024092875097,10,0.9833984375,1.0,False,False,False,
IFN-lambda1,IL-15,-0.011155006297580577,10,0.953125,1.0,False,False,False,
Decorin,IL-12,-0.011164822858636793,10,0.9775390625,1.0,False,False,False,
IL-12,VEGF,-0.011181905727995479,10,0.9921875,1.0,False,False,False,PARTIAL_INHIBITORY
IFN-beta,IL-35,-0.011789932385410953,10,0.986328125,1.0,False,False,False,
IFN-gamma,IL-17A,-0.012253712644071685,10,0.99609375,1.0,False,False,False,
CD30L,IFN-beta,-0.012364833842477075,10,0.9873046875,1.0,False,False,False,
IL-10,TL1A,-0.012440153365225897,10,0.9951171875,1.0,False,False,False,
IFN-beta,IL-27,-0.012534759687664718,10,0.9619140625,1.0,False,False,False,
IFN-omega,IL-27,-0.013242027932858984,10,0.9833984375,1.0,False,False,False,
IL-12,IL-17A,-0.013449516285048879,10,1.0,1.0,False,False,False,
IFN-beta,TGF-beta1,-0.013606691838282604,10,0.9990234375,1.0,False,False,False,
IL-17A,IL-6,-0.014009268460390365,10,1.0,1.0,False,False,False,
GM-CSF,IL-12,-0.01440195582969033,10,0.9931640625,1.0,False,False,False,
CD30L,IFN-gamma,-0.014403470111605915,10,1.0,1.0,False,False,False,
IFN-gamma,TGF-beta1,-0.015052208992774072,10,0.9931640625,1.0,False,False,False,
IFN-omega,IL-36-alpha,-0.015125927078011242,10,1.0,1.0,False,False,False,
IL-1-beta,IL-35,-0.015187256386422593,10,1.0,1.0,False,False,False,
IL-10,IL-2,-0.015907174826640152,10,0.9384765625,1.0,False,False,False,
IFN-beta,IFN-lambda1,-0.016067910785584345,10,1.0,1.0,False,False,False,
IL-12,TNF-alpha,-0.01631831885517939,10,1.0,1.0,False,False,False,
IL-1-beta,TNF-alpha,-0.01632447774805453,10,0.9970703125,1.0,False,False,False,
IL-15,TNF-alpha,-0.01702531819920177,10,0.9091796875,1.0,False,False,False,
GM-CSF,IFN-gamma,-0.01752160074108321,10,0.99609375,1.0,False,False,False,
IFN-gamma,IL-16,-0.01826296378251003,10,0.9970703125,1.0,False,False,False,
IFN-beta,IL-9,-0.018371679399000564,10,1.0,1.0,False,False,False,
IFN-omega,IL-16,-0.018754127726930643,10,0.9970703125,1.0,False,False,False,
IL-15,IL-17A,-0.019473805011290573,10,0.9853515625,1.0,False,False,False,
IFN-gamma,IL-9,-0.019666162108921487,10,0.998046875,1.0,False,False,False,
IFN-lambda1,IL-1-beta,-0.020016569555129694,10,1.0,1.0,False,False,False,
Decorin,IL-1-beta,-0.020423363821338053,10,0.9970703125,1.0,False,False,False,
IL-1-beta,TGF-beta1,-0.020636982268289382,10,1.0,1.0,False,False,False,
IL-15,IL-35,-0.02265168845491565,10,0.99609375,1.0,False,False,False,
IFN-lambda1,IL-2,-0.023582460253458958,10,1.0,1.0,False,False,False,
IL-6,TL1A,-0.02417235313712255,10,1.0,1.0,False,False,False,
IL-1-beta,VEGF,-0.024470253394025823,10,0.998046875,1.0,False,False,False,
IFN-beta,IL-16,-0.024609879234238814,10,1.0,1.0,False,False,False,
GM-CSF,IFN-beta,-0.025021357567090053,10,1.0,1.0,False,False,False,
IL-1-beta,IL-17A,-0.025522748016468855,10,1.0,1.0,False,False,False,
IFN-beta,IL-36-alpha,-0.02633806488922109,10,0.9990234375,1.0,False,False,False,
IL-2,TGF-beta1,-0.026440047626586066,10,0.9990234375,1.0,False,False,False,
IFN-gamma,VEGF,-0.027071582031962665,10,0.9990234375,1.0,False,False,False,
IL-1-beta,IL-13,-0.027211638807278615,10,0.998046875,1.0,False,False,False,
IL-2,VEGF,-0.027280082642708137,10,1.0,1.0,False,False,False,
IFN-gamma,IL-36-alpha,-0.027492283713882387,10,0.9990234375,1.0,False,False,False,
IL-1-beta,IL-36-alpha,-0.028616658136572527,10,0.9970703125,1.0,False,False,False,
IL-10,IL-6,-0.028879441685326725,10,1.0,1.0,False,False,False,
