axis_a,axis_b,excess_mean,n_donors,p_donor,q_donor,coupled_q05,coupled_q10,is_benchmark,pair_status
IL-10,IL-12,0.02229453729809029,10,0.0107421875,0.02298328488372093,True,True,False,
IFN-beta,TGF-beta1,0.022275770134670893,10,0.0009765625,0.0038504464285714288,True,True,False,
GM-CSF,IFN-lambda1,0.02168874783423962,10,0.0009765625,0.0038504464285714288,True,True,False,
IL-9,TL1A,0.0211554904266377,10,0.01953125,0.03769667832167832,True,True,False,
IFN-gamma,TNF-alpha,0.02111301878592349,10,0.0830078125,0.13556305473372782,False,False,False,
GM-CSF,IFN-gamma,0.020771711859415516,10,0.0048828125,0.012141047297297296,True,True,False,
TL1A,TNF-alpha,0.020648739449519782,10,0.0009765625,0.0038504464285714288,True,True,False,
GM-CSF,IL-17A,0.0204925413847086,10,0.0009765625,0.0038504464285714288,True,True,False,LOW_CONFIDENCE
IFN-beta,IL-35,0.020408288856444412,10,0.0009765625,0.0038504464285714288,True,True,False,
IL-10,TL1A,0.019850723971088884,10,0.001953125,0.005674342105263158,True,True,False,
IL-12,IL-16,0.019601545645389705,10,0.009765625,0.021222933070866142,True,True,False,
GM-CSF,TGF-beta1,0.019396218470355962,10,0.0009765625,0.0038504464285714288,True,True,False,
IL-13,TGF-beta1,0.019255423228023573,10,0.0595703125,0.10212053571428571,False,False,False,
Decorin,IL-17A,0.01918515571873286,10,0.0009765625,0.0038504464285714288,True,True,False,
GM-CSF,IL-12,0.01899309152405476,10,0.0009765625,0.0038504464285714288,True,True,False,
IL-17A,VEGF,0.01843529396119993,10,0.001953125,0.005674342105263158,True,True,False,
IL-10,IL-35,0.01837309413470211,10,0.0068359375,0.016264816810344827,True,True,False,
IL-15,IL-6,0.018198923750547692,10,0.158203125,0.2386014344262295,False,False,False,
GM-CSF,VEGF,0.017901894677052044,10,0.001953125,0.005674342105263158,True,True,False,UNKNOWN
IL-17A,IL-35,0.017801074310351394,10,0.001953125,0.005674342105263158,True,True,False,
GM-CSF,IFN-beta,0.017754747280851003,10,0.0068359375,0.016264816810344827,True,True,False,
Decorin,IL-16,0.017666281704354334,10,0.00390625,0.00989105504587156,True,True,False,UNKNOWN
IL-15,IL-36-alpha,0.01752624920307426,10,0.1669921875,0.24913429054054054,False,False,False,
IFN-lambda1,IL-35,0.017336065907875307,10,0.00390625,0.00989105504587156,True,True,False,
IL-10,IL-16,0.017321310472150797,10,0.0068359375,0.016264816810344827,True,True,False,
Decorin,IL-10,0.01695038971942267,10,0.0205078125,0.039306640625,True,True,False,
GM-CSF,IL-27,0.016763525465968997,10,0.0009765625,0.0038504464285714288,True,True,False,PARTIAL_INHIBITORY
CD30L,IFN-lambda1,0.01673504146121559,10,0.001953125,0.005674342105263158,True,True,False,
IL-12,IL-17A,0.016684998599754176,10,0.009765625,0.021222933070866142,True,True,False,
IL-35,TL1A,0.016257578291639218,10,0.0009765625,0.0038504464285714288,True,True,False,
IFN-gamma,TGF-beta1,0.016245376352890164,10,0.0009765625,0.0038504464285714288,True,True,False,
IFN-omega,IL-13,0.016174032758834073,10,0.0625,0.1058282208588957,False,False,False,
TGF-beta1,VEGF,0.015958718089561445,10,0.00390625,0.00989105504587156,True,True,False,
IFN-omega,IL-16,0.01589495789556531,10,0.013671875,0.02880486641221374,True,True,False,
IL-36-alpha,TL1A,0.015357176133518807,10,0.0244140625,0.04615261130136986,True,True,False,UNKNOWN
IL-16,IL-17A,0.015348666412290185,10,0.001953125,0.005674342105263158,True,True,False,
IL-15,VEGF,0.015327829752975957,10,0.1396484375,0.21412760416666668,False,False,True,DIRECTIONAL_a_to_b
IL-2,TGF-beta1,0.015191534601268358,10,0.0078125,0.018273305084745763,True,True,False,
IL-1-beta,IL-10,0.014902873918239492,10,0.1875,0.27380952380952384,False,False,False,
IL-36-alpha,TGF-beta1,0.014723788363044148,10,0.0625,0.1058282208588957,False,False,False,
IFN-lambda1,TGF-beta1,0.014677237925119699,10,0.01953125,0.03769667832167832,True,True,False,
IFN-omega,IL-36-alpha,0.014656120519532124,10,0.056640625,0.09831957547169812,False,True,False,
IL-1-beta,IL-27,0.014554001840151612,10,0.0283203125,0.05281355574324324,False,True,False,
IL-10,IL-15,0.014413550116252736,10,0.318359375,0.4328432881773399,False,False,False,
IL-13,IL-17A,0.014201907968206797,10,0.078125,0.12911676646706588,False,False,False,
CD30L,IL-13,0.01415601826744387,10,0.1376953125,0.21231232541899442,False,False,False,
IL-13,VEGF,0.013913169724517501,10,0.0537109375,0.09382416930379747,False,True,True,DIRECTIONAL_b_to_a
IFN-lambda1,VEGF,0.01341107716280385,10,0.0087890625,0.01956275201612903,True,True,False,UNKNOWN
IL-17A,TGF-beta1,0.013038912946882192,10,0.0029296875,0.008005878712871287,True,True,False,
TNF-alpha,VEGF,0.012882130810699891,10,0.001953125,0.005674342105263158,True,True,False,
IL-16,IL-27,0.012776823712571059,10,0.0390625,0.0704656862745098,False,True,False,
CD30L,IL-1-beta,0.012715017776572496,10,0.0888671875,0.14343475877192982,False,False,False,
IL-27,IL-35,0.012556758656603051,10,0.0595703125,0.10212053571428571,False,False,False,UNKNOWN
IL-13,IL-16,0.012492027031825276,10,0.111328125,0.17558035714285714,False,False,False,
IL-16,IL-36-alpha,0.012217661574628436,10,0.0703125,0.11833079268292683,False,False,False,
IL-27,VEGF,0.012164412459416782,10,0.017578125,0.034903327338129495,True,True,False,PARTIAL_INHIBITORY
IL-36-alpha,TNF-alpha,0.011660898585163523,10,0.0380859375,0.06915604440789473,False,True,False,
GM-CSF,IL-6,0.011632787414331689,10,0.017578125,0.034903327338129495,True,True,False,
IL-35,TNF-alpha,0.01093366240488831,10,0.017578125,0.034903327338129495,True,True,False,
IL-13,IL-27,0.010910168858361432,10,0.1708984375,0.2535912298387097,False,False,False,PARTIAL_INHIBITORY
IFN-lambda1,TNF-alpha,0.010659001450258073,10,0.0166015625,0.03394097222222222,True,True,False,
GM-CSF,IFN-omega,0.010276225003603031,10,0.0009765625,0.0038504464285714288,True,True,False,
IL-12,IL-36-alpha,0.010160034732718485,10,0.08203125,0.134765625,False,False,False,
Decorin,TL1A,0.010036991714994654,10,0.0166015625,0.03394097222222222,True,True,False,
TL1A,VEGF,0.009857237583317328,10,0.03125,0.0575,False,True,False,
Decorin,VEGF,0.009843902556924149,10,0.0048828125,0.012141047297297296,True,True,False,PARTIAL_INHIBITORY
IL-36-alpha,VEGF,0.009742323229147589,10,0.115234375,0.18070845170454544,False,False,True,DIRECTIONAL_a_to_b
IL-12,IL-13,0.00971106799051631,10,0.0859375,0.13952205882352942,False,False,False,
Decorin,TGF-beta1,0.009668635997601085,10,0.04296875,0.07700892857142858,False,True,False,
IL-12,TNF-alpha,0.009453019821899942,10,0.0908203125,0.14573492005813954,False,False,False,
IFN-lambda1,IL-13,0.009408021984534571,10,0.1982421875,0.28797286184210524,False,False,False,
Decorin,IL-13,0.00902717641030904,10,0.16015625,0.240234375,False,False,False,
IFN-gamma,IL-16,0.008947005580557743,10,0.1484375,0.22634668508287292,False,False,False,
GM-CSF,IL-1-beta,0.008698556233401178,10,0.0439453125,0.07825100806451613,False,True,False,
CD30L,IL-2,0.00859627043575165,10,0.1845703125,0.27096492686170215,False,False,False,
IL-16,VEGF,0.008434519271075261,10,0.048828125,0.08638822115384616,False,True,False,UNKNOWN
IL-10,TGF-beta1,0.008197900122351711,10,0.0107421875,0.02298328488372093,True,True,False,
IFN-lambda1,IL-36-alpha,0.008013850704999641,10,0.208984375,0.29885848445595853,False,False,False,
IL-12,VEGF,0.00800995751650771,10,0.05078125,0.08927149681528662,False,True,False,PARTIAL_INHIBITORY
GM-CSF,IL-13,0.00798961288004648,10,0.0087890625,0.01956275201612903,True,True,False,
IL-13,IL-36-alpha,0.007915701714984607,10,0.2734375,0.3844582804568528,False,False,False,
IL-35,TGF-beta1,0.007734829652676127,10,0.1318359375,0.20441976825842698,False,False,False,
IL-27,IL-9,0.007364761308417655,10,0.3203125,0.4333639705882353,False,False,False,PARTIAL_INHIBITORY
IFN-beta,IL-16,0.007189833274314879,10,0.17578125,0.2594418449197861,False,False,False,
Decorin,TNF-alpha,0.0071598629917716625,10,0.111328125,0.17558035714285714,False,False,False,
IL-2,VEGF,0.007129651935421861,10,0.0751953125,0.12578125,False,False,False,
Decorin,IL-36-alpha,0.006979044374544172,10,0.2744140625,0.3844582804568528,False,False,False,
CD30L,IL-36-alpha,0.006840996200073277,10,0.2763671875,0.38523910984848486,False,False,False,
IL-10,IL-17A,0.00663556818012148,10,0.01953125,0.03769667832167832,True,True,False,
TGF-beta1,TNF-alpha,0.006576318487816024,10,0.029296875,0.05426803691275168,False,True,False,
Decorin,IFN-lambda1,0.005943733277352294,10,0.2041015625,0.2949321007853403,False,False,False,
IL-27,IL-36-alpha,0.005863190894830041,10,0.310546875,0.42642257462686567,False,False,False,UNKNOWN
GM-CSF,IL-36-alpha,0.005791611715976614,10,0.1552734375,0.23546960851648352,False,False,False,
CD30L,Decorin,0.00571012215691735,10,0.224609375,0.3195473582474227,False,False,False,
IL-12,IL-6,0.0055668339756084605,10,0.2060546875,0.29620361328125,False,False,False,UNKNOWN
Decorin,IL-27,0.005561777913884725,10,0.123046875,0.1918697033898305,False,False,False,UNKNOWN
IL-15,IL-16,0.00470056624544668,10,0.388671875,0.5132700358851675,False,False,False,
IL-16,IL-35,0.0039574679911602295,10,0.296875,0.4096875,False,False,False,
IL-10,IL-13,0.0036067106864647947,10,0.3154296875,0.4309831373762376,False,False,False,
IL-13,TL1A,0.00347120718244696,10,0.3681640625,0.4908854166666667,False,False,True,DIRECTIONAL_b_to_a
IL-35,VEGF,0.0032545154985855335,10,0.2392578125,0.3386418269230769,False,False,False,WEAK_a_to_b
IFN-gamma,IL-6,0.0032288004371512228,10,0.3603515625,0.48515625,False,False,False,
IL-13,IL-35,0.0029568980314652435,10,0.44921875,0.587603672985782,False,False,False,
IL-17A,TNF-alpha,0.0022521345078712327,10,0.2939453125,0.4076829459798995,False,False,False,
GM-CSF,IL-9,0.001589923653911683,10,0.3681640625,0.4908854166666667,False,False,False,
IL-1-beta,IL-16,0.001013879076694138,10,0.44140625,0.5801339285714285,False,False,False,
Decorin,GM-CSF,0.0005933047024300324,10,0.3828125,0.5079627403846154,False,False,False,
IFN-beta,IL-36-alpha,0.00056223979839706,10,0.4697265625,0.6115308077830188,False,False,False,
Decorin,IL-12,0.00016574435832444664,10,0.4814453125,0.6238446302816901,False,False,False,
CD30L,IL-35,8.372745662927651e-05,10,0.4912109375,0.633524386682243,False,False,False,
IFN-omega,VEGF,-0.0003941025436943156,10,0.533203125,0.6813151041666666,False,False,False,
IL-13,IL-9,-0.0023356256410479543,10,0.533203125,0.6813151041666666,False,False,False,
IL-10,IL-9,-0.002341984803089873,10,0.603515625,0.7655179794520548,False,False,False,
IL-27,IL-6,-0.002534658012271393,10,0.6552734375,0.8146642736486487,False,False,False,LOW_CONFIDENCE
IFN-lambda1,IL-1-beta,-0.0025839707420673213,10,0.6669921875,0.8255149943946188,False,False,False,
IFN-beta,IL-9,-0.0027914089894329657,10,0.607421875,0.7655179794520548,False,False,False,
IFN-gamma,VEGF,-0.003051846918242518,10,0.7119140625,0.854296875,False,False,False,
IL-1-beta,IL-9,-0.003090050794387934,10,0.607421875,0.7655179794520548,False,False,False,
IL-36-alpha,IL-6,-0.003979180757130963,10,0.7431640625,0.8725503177966102,False,False,False,WEAK_a_to_b
IL-16,TNF-alpha,-0.004126207114954013,10,0.7353515625,0.8684895833333334,False,False,False,
IL-13,TNF-alpha,-0.004128898644557921,10,0.7041015625,0.8497884825327511,False,False,False,
IL-1-beta,TNF-alpha,-0.004422102621087105,10,0.6123046875,0.7681640625,False,False,False,
IFN-gamma,IL-36-alpha,-0.005120937035302632,10,0.7724609375,0.8995747626582279,False,False,False,
IL-2,IL-36-alpha,-0.005787466732435859,10,0.787109375,0.9127823004201681,False,False,False,
IL-9,TGF-beta1,-0.005941592290822884,10,0.6962890625,0.84896406938326,False,False,False,
IL-1-beta,IL-35,-0.006275764462247024,10,0.8330078125,0.957958984375,False,False,False,
Decorin,IFN-omega,-0.006467196870828047,10,0.9892578125,1.0,False,False,False,
IL-16,IL-2,-0.00690258969657589,10,0.7265625,0.8643588362068966,False,False,False,
Decorin,IL-15,-0.007173223749661702,10,0.6767578125,0.8338623046875,False,False,False,
IL-17A,IL-9,-0.007177959464141166,10,0.74609375,0.8725503177966102,False,False,False,
IL-9,VEGF,-0.007553129482344959,10,0.83984375,0.9618127593360996,False,False,True,DIRECTIONAL_a_to_b
IFN-beta,VEGF,-0.007962510893383295,10,0.8779296875,1.0,False,False,False,
IL-1-beta,TGF-beta1,-0.008019151752552717,10,0.923828125,1.0,False,False,False,
IFN-lambda1,IL-6,-0.008605902137525843,10,0.9033203125,1.0,False,False,True,DIRECTIONAL_a_to_b
IFN-lambda1,IL-9,-0.008623368093598401,10,0.68359375,0.8385416666666666,False,False,False,UNKNOWN
IFN-gamma,IL-9,-0.008631350206909699,10,0.7978515625,0.9213683315899581,False,False,False,
Decorin,IL-6,-0.009057270994919236,10,0.9404296875,1.0,False,False,False,WEAK_b_to_a
IL-1-beta,IL-17A,-0.009227852418029215,10,0.9736328125,1.0,False,False,False,
IL-35,IL-36-alpha,-0.009228880957380168,10,0.6982421875,0.84896406938326,False,False,False,
CD30L,IL-9,-0.009682948608591684,10,0.736328125,0.8684895833333334,False,False,False,UNKNOWN
IL-15,IL-9,-0.010297834817145485,10,0.64453125,0.8049349547511312,False,False,False,UNKNOWN
Decorin,IL-9,-0.010593028562580003,10,0.7216796875,0.8622666396103896,False,False,False,UNKNOWN
IL-6,VEGF,-0.011003269752603956,10,0.966796875,1.0,False,False,True,DIRECTIONAL_a_to_b
IFN-gamma,IL-13,-0.012777463572943817,10,0.974609375,1.0,False,False,False,
IL-1-beta,IL-6,-0.012841616942023393,10,0.9306640625,1.0,False,False,False,
Decorin,IL-35,-0.013129307901865103,10,0.94921875,1.0,False,False,False,
IL-6,TGF-beta1,-0.014070265526970615,10,0.9990234375,1.0,False,False,False,
IL-13,IL-2,-0.014470422391634203,10,0.98046875,1.0,False,False,False,
IL-36-alpha,IL-9,-0.014524626584607172,10,0.705078125,0.8497884825327511,False,False,True,DIRECTIONAL_a_to_b
IL-16,IL-9,-0.014696068658144212,10,0.93359375,1.0,False,False,False,WEAK_b_to_a
Decorin,IL-2,-0.014972052022465505,10,0.978515625,1.0,False,False,False,
Decorin,IFN-gamma,-0.015485048986301991,10,0.9365234375,1.0,False,False,False,
IL-9,TNF-alpha,-0.015642543997120815,10,0.98828125,1.0,False,False,False,WEAK_b_to_a
IL-13,IL-6,-0.01565358651179122,10,0.9921875,1.0,False,False,False,UNKNOWN
IFN-beta,IL-13,-0.01640535162863671,10,0.9677734375,1.0,False,False,False,
IL-35,IL-6,-0.01659465927517158,10,0.9921875,1.0,False,False,False,
