seed,cytokine,stage2_train_auc,stage2_val_auc,stage3_train_auc,stage3_val_auc,train_delta,val_delta
42,4-1BBL,0.6464537055513077,0.001570121510856276,0.9244003026016057,0.001418498129975651,0.277946597050298,-0.00015162338088062504
42,ADSF,0.7177052072687262,0.0010362628998926186,0.931149288277328,1.0778031906283674e-06,0.2134440810086018,-0.0010351850967019903
42,APRIL,0.5142866988115117,0.0005981092562973402,0.8927873268848284,2.8449656401493948e-06,0.37850062807331675,-0.0005952642906571908
42,BAFF,0.5806384895127228,0.014768322995189664,0.8456531792426948,1.2094955652541162e-06,0.265014689729972,-0.01476711349962441
42,C3a,0.6001877468862122,0.0031952907068669182,0.8770919226348401,0.00045473383869393936,0.2769041757486279,-0.0027405568681729787
42,C5a,0.6353910617374219,0.02075011853323514,0.9632894700944425,0.07395289740570798,0.32789840835702067,0.05320277887247284
42,CD27L,0.6929130161222062,0.0007387477022434958,0.8762918623417617,1.2059157196247647e-08,0.18337884621955547,-0.0007387356430862995
42,CD30L,0.6458749764587199,0.0007893931301447379,0.9166465300142765,5.367389930342197e-08,0.2707715535555566,-0.0007893394562454345
42,CD40L,0.7658281555912473,0.05672981372914262,0.9459566750261932,0.050025391250302975,0.1801285194349459,-0.006704422478839643
42,CT-1,0.6942776163394602,0.0010993242910248239,0.8370213395506143,2.449242862313538e-07,0.14274372321115414,-0.0010990793667385926
42,Decorin,0.48128668863408075,0.010684336274483671,0.885915254985541,0.0065068304867201875,0.4046285663514603,-0.0041775057877634835
42,EGF,0.6895612940634862,0.03666546363932947,0.9204198562115431,0.021126015653472503,0.2308585621480569,-0.015539447985856963
42,EPO,0.5207385222949932,0.002233997655736398,0.9233784046778456,0.000653891972303657,0.4026398823828524,-0.001580105683432741
42,FGF-beta,0.630090256428639,0.0022566312715801003,0.9028212401077151,5.9892195362312694e-05,0.2727309836790761,-0.0021967390762177874
42,FLT3L,0.5659476842888206,0.0010728172265609347,0.9146830046467485,0.00011167210842463805,0.34873532035792787,-0.0009611451181362967
42,FasL,0.5968909476835145,0.007776678043333844,0.9247341483667492,0.0008250454281269204,0.3278432006832347,-0.006951632615206924
42,G-CSF,0.68727408460407,0.00044794321595320016,0.8642170020185411,5.055194070134993e-06,0.1769429174144711,-0.0004428880218830652
42,GDNF,0.5927995965058498,0.0023424232504358315,0.85193209302146,0.0001015603291828411,0.2591324965156102,-0.0022408629212529903
42,GITRL,0.6023280848255443,0.025302667011981743,0.8925075954791624,0.016804994423996706,0.290179510653618,-0.008497672587985037
42,GM-CSF,0.6809680334844685,0.008994553466775105,0.8121610610881121,0.0006736768173593739,0.1311930276036436,-0.008320876649415731
42,HGF,0.5004462371849651,0.0018500708868311514,0.8938502754956484,2.830743874930517e-08,0.3934040383106834,-0.001850042579392402
42,IFN-alpha1,0.6157801300627646,0.15619042547283146,0.9094142208456992,0.05938296913637677,0.2936340907829347,-0.09680745633645468
42,IFN-beta,0.7518397585754673,0.19730674921417973,0.9287808125965298,0.22829236570818465,0.17694105402106253,0.030985616494004914
42,IFN-epsilon,0.6324706356722072,0.047149289823939435,0.92096391556561,0.05304195390290313,0.2884932798934028,0.0058926640789636955
42,IFN-gamma,0.8173984361609706,0.03958313629998888,0.9643354832142592,0.03886973817341034,0.14693704705328858,-0.0007133981265785364
42,IFN-lambda1,0.5868735594268825,0.005886710242859229,0.8867614804647863,0.0002531646792363593,0.29988792103790385,-0.00563354556362287
42,IFN-lambda2,0.5956199184353491,0.030365024122141926,0.919997010347992,0.060277541972746526,0.32437709191264286,0.0299125178506046
42,IFN-lambda3,0.6662411251044944,0.0046566246462294795,0.9445793908864261,0.006898274521111502,0.27833826578193166,0.002241649874882023
42,IFN-omega,0.7625187362520147,0.49779143149154176,0.9130755302190781,0.6409161020044498,0.15055679396706334,0.14312467051290806
42,IGF-1,0.5294745861382607,0.00854770843831782,0.840431593094021,0.02368129770145332,0.31095700695576034,0.015133589263135499
42,IL-1-alpha,0.704623578417666,0.032240045512084516,0.9430539892047645,0.13804669041373027,0.23843041078709848,0.10580664490164576
42,IL-1-beta,0.722297844113251,0.23457522778144207,0.9328354754924775,0.25928503366560457,0.21053763137922643,0.024709805884162495
42,IL-10,0.6926662974144864,0.0520488861312446,0.9198437913424334,0.077381970887237,0.22717749392794706,0.0253330847559924
42,IL-11,0.6095096957235099,0.002014943302276604,0.839883521965798,8.541822835929163e-08,0.23037382624228808,-0.0020148578840482444
42,IL-12,0.6993899716631965,0.052143052064100505,0.8702445161858574,0.03608504737734593,0.1708545445226609,-0.016058004686754578
42,IL-13,0.8202728289726495,0.11452303462510316,0.9682197154738009,0.11723745528804577,0.1479468865011514,0.0027144206629426126
42,IL-15,0.7956059571302831,0.3603667012883632,0.9327185770243406,0.2821701214593987,0.13711261989405743,-0.0781965798289645
42,IL-16,0.507271595350779,0.015686700530224758,0.902193842060957,0.008946454316393519,0.39492224671017795,-0.006740246213831239
42,IL-17A,0.5530347653705242,0.0030718340249592225,0.896002730301954,0.00048776124260377655,0.3429679649314298,-0.002584072782355446
42,IL-17B,0.6337275964009725,0.001160810251873388,0.8596263507720316,6.355048440499551e-06,0.2258987543710591,-0.0011544552034328884
42,IL-17C,0.5987462987244291,0.001354374771399046,0.8323016172042117,3.0135621338739854e-05,0.23355531847978261,-0.001324239150060306
42,IL-17D,0.5769661822585577,0.0023088588266595546,0.9426786041237412,0.010986216773799934,0.3657124218651835,0.00867735794714038
42,IL-17E,0.6344884135478205,0.01674428545630619,0.9217522418562322,0.06439750451279051,0.2872638283084117,0.04765321905648433
42,IL-17F,0.6093102304489897,0.019460977389407406,0.8856594049286097,0.017361432593613883,0.27634917447962004,-0.002099544795793523
42,IL-18,0.5748032541342136,0.009361423298932112,0.8644221549173584,0.004141485163991497,0.2896189007831448,-0.0052199381349406155
42,IL-19,0.6434591079545045,0.000685574727334634,0.9192565831601621,3.111504173993138e-05,0.27579747520565767,-0.0006544596855947027
42,IL-1Ra,0.6963647650447703,0.005020984452537327,0.9477221575066447,1.7737591013003243e-05,0.2513573924618744,-0.0050032468615243235
42,IL-2,0.7007288192493442,0.23098942811978812,0.973216638302803,0.42397745941212717,0.27248781905345887,0.19298803129233905
42,IL-20,0.6415869101679915,0.0012559197970607697,0.9294910909295083,3.572338534835437e-05,0.2879041807615168,-0.0012201964117124152
42,IL-21,0.699822435930335,0.008549289671842774,0.9152769827231765,6.933615083705764e-05,0.21545454679284148,-0.008479953521005716
42,IL-22,0.5026893234511616,0.0038667727293892526,0.8984556781232357,0.0001794241184131688,0.3957663546720741,-0.003687348610976084
42,IL-23,0.6572504012691449,0.004660450916110318,0.9424483006739989,0.0004100608426897983,0.28519789940485396,-0.004250390073420519
42,IL-24,0.7205182551953594,0.00038726317289085007,0.9164710975803435,6.92490190522353e-08,0.19595284238498412,-0.00038719392387179784
42,IL-26,0.5000705355812961,0.005288370592743922,0.9115893471833318,0.00024034452930703454,0.41151881160203574,-0.005048026063436887
42,IL-27,0.5994107878331347,0.016607945228673815,0.9684408461749554,0.0051110483715898734,0.3690300583418207,-0.011496896857083942
42,IL-3,0.6303109579066571,0.02796865386324422,0.8967119069304319,0.041189835356750054,0.26640094902377476,0.013221181493505835
42,IL-31,0.5456156400161134,0.0020307920924613537,0.9000750559390991,0.00039175974107441645,0.3544594159229857,-0.0016390323513869372
42,IL-32-beta,0.9103665035630704,0.9119689474667988,0.9931132949799298,0.9531818351652473,0.08274679141685948,0.04121288769844855
42,IL-33,0.6831206037004423,0.001659236007374001,0.8064467178113526,1.390763466731259e-07,0.12332611411091032,-0.001659096931027328
42,IL-34,0.5944815264710385,0.004614591563061393,0.8941365670317785,0.004432174725406768,0.29965504056074,-0.00018241683765462483
42,IL-35,0.6678159491877951,0.008393376640095113,0.9493533254660668,4.966597266240541e-05,0.2815373762782717,-0.008343710667432709
42,IL-36-alpha,0.6635290417341205,0.010183568866668411,0.8662035717686638,0.00028035676257880256,0.20267453003454328,-0.009903212104089608
42,IL-36Ra,0.6839443628769218,0.0010691689215466438,0.9231596919141709,5.3488776302764103e-08,0.23921532903724907,-0.001069115432770341
42,IL-4,0.9049045519412031,0.19405073961787872,0.9872317017793655,0.10012497718729896,0.08232714983816236,-0.09392576243057976
42,IL-5,0.5892533794259097,0.0026337778066733144,0.7868476053109393,3.080305040598441e-06,0.19759422588502962,-0.002630697501632716
42,IL-6,0.7189039428297498,0.033240412922341034,0.9609528410844504,0.042235402255807394,0.24204889825470066,0.00899498933346636
42,IL-7,0.8776011266632655,0.07966524861318468,0.9814578457534314,0.04784781461374717,0.10385671909016592,-0.03181743399943751
42,IL-8,0.514390764016845,0.014035598104341448,0.7597076648611343,0.010252190975456219,0.24531690084428925,-0.0037834071288852297
42,IL-9,0.6700467143415964,0.0005711958145711931,0.9290397509649396,0.0015912197506446478,0.2589930366233433,0.0010200239360734548
42,LIF,0.7033710062382263,0.0006555883548915887,0.9196650580421091,8.043678284500532e-10,0.21629405180388273,-0.0006555875505237603
42,LIGHT,0.6253050340834794,0.0007077448925086837,0.8434926614562049,6.017781812325139e-06,0.21818762737272557,-0.0007017271106963585
42,LT-alpha1-beta2,0.6372741766109579,0.0005931325164316272,0.8753687246840448,2.0379759898480204e-08,0.23809454807308694,-0.0005931121366717288
42,LT-alpha2-beta1,0.5598702763350115,0.06239750580203168,0.8715072495587171,0.0024437309426588844,0.31163697322370554,-0.059953774859372796
42,Leptin,0.6414714173570091,0.0042054569970552975,0.9662560410648585,0.005321520741385563,0.32478462370784944,0.0011160637443302654
42,M-CSF,0.6917854951475938,0.007378436591367903,0.9346775921301916,0.0017193110952181026,0.24289209698259784,-0.0056591254961498
42,Noggin,0.6888326195243927,0.006880350852121663,0.9181467710962521,5.600994074788487e-05,0.22931415157185941,-0.006824340911373778
42,OSM,0.5270479179142455,0.002277155981926106,0.8570508260842412,0.0006179669923779389,0.33000290816999567,-0.001659188989548167
42,OX40L,0.6891362177035617,0.004418028799037021,0.9227826007012276,0.00014382875055118612,0.23364638299766594,-0.004274200048485835
42,PBS,0.6546160817319572,0.08526481115198209,0.9566401141971349,0.138249977618953,0.3020240324651777,0.05298516646697091
