axis_a,axis_b,coupling_raw,coupling_hub,cross_asym,null_p_raw,null_p_hub,pair,is_pos,is_neg,label,coupled_raw,coupled_hub
IL13,IL18,0.04581233859062195,-0.012237858478770111,-0.011792272329330444,0.0,1.0,"('IL13', 'IL18')",False,False,,True,False
IL13,IL2,0.013872385025024414,-0.014471608919627732,-0.015853166580200195,0.082,1.0,"('IL13', 'IL2')",False,False,,False,False
IL15,IL2,0.08426529169082642,-0.01536460706230365,0.013907849788665771,0.0,1.0,"('IL15', 'IL2')",False,False,,True,False
IL1b,IL4,-0.0074409618973731995,-0.01539313398075827,0.03511539846658707,0.9,1.0,"('IL1b', 'IL4')",False,False,,False,False
IL12,IL18,0.08348274230957031,-0.018784285381887908,0.005524158477783203,0.0,1.0,"('IL12', 'IL18')",False,False,,True,False
IL4,TNFa,0.008703991770744324,-0.019276176099524353,-0.042803481221199036,0.396,1.0,"('IL4', 'TNFa')",False,False,,False,False
IL1b,IL2,0.009617418050765991,-0.01932185899579164,0.007991641759872437,0.138,1.0,"('IL1b', 'IL2')",False,False,,False,False
IL10,IL15,0.03934597969055176,-0.01992842092206984,-0.008014976978302002,0.0,1.0,"('IL10', 'IL15')",False,False,,True,False
IL10,IL18,0.03465089201927185,-0.023392679451993026,0.007077425718307495,0.002,1.0,"('IL10', 'IL18')",False,False,,True,False
IFNb,IL12,0.11046501994132996,-0.02361388448061366,-0.01996263861656189,0.0,1.0,"('IFNb', 'IL12')",False,False,,True,False
IFNg,IL13,0.034986019134521484,-0.024391318699627212,0.008908748626708984,0.0,1.0,"('IFNg', 'IL13')",False,False,,True,False
IFNg,IL1b,0.03142136335372925,-0.028551257582324935,0.014100372791290283,0.0,1.0,"('IFNg', 'IL1b')",False,False,,True,False
IL15,IL6,0.05611085891723633,-0.029279900658311264,0.028868794441223145,0.0,1.0,"('IL15', 'IL6')",False,False,,True,False
IFNb,IL10,0.059410661458969116,-0.030444786742781157,0.026400595903396606,0.002,1.0,"('IFNb', 'IL10')",False,False,,True,False
IFNg,IL4,0.04471203684806824,-0.034027068565289184,0.004375725984573364,0.0,1.0,"('IFNg', 'IL4')",False,True,MUST-NOT,True,False
IFNg,IL10,0.022674143314361572,-0.03669656892165994,-0.005681216716766357,0.004,1.0,"('IFNg', 'IL10')",False,False,,True,False
IL18,IL1b,0.01911953091621399,-0.039525949255083556,0.012147098779678345,0.048,1.0,"('IL18', 'IL1b')",False,False,,True,False
IL13,IL15,0.013389959931373596,-0.045891066279375184,-0.013037070631980896,0.14,1.0,"('IL13', 'IL15')",False,False,,False,False
IFNb,IL13,0.039295852184295654,-0.0505662216155818,0.044757962226867676,0.012,1.0,"('IFNb', 'IL13')",False,False,,True,False
IFNb,IL4,0.036664754152297974,-0.07255908722678822,0.018559306859970093,0.04,1.0,"('IFNb', 'IL4')",False,False,,True,False
IFNb,IL6,0.029388368129730225,-0.08658343903494603,-0.008258044719696045,0.048,1.0,"('IFNb', 'IL6')",False,False,,True,False
